planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,limbdark_1,limbdark_2,pmass,prad,period,epoch,impact,ecc,omega,depth,duration,ror,dor,snr,ttv_type
S05790.01,SIMULATED,K05790,10394802,1,15.518,0.733,0.029,-0.053,0.668,0.062,-0.018,0.54,0.074,-0.032,0.575,0.15,nan,3.71,178.26698,161.66453,0.496,0.052,1.206,2592,6.679,0.051,179.928,24.169,linear
S04037.01,SIMULATED,K04037,8264402,1,12.853,0.978,0.094,-0.085,1.31,0.23,-0.167,-0.212,0.139,-0.14,0.329,0.302,nan,3.36,215.95601,188.88205,0.804,0.307,1.661,553,6.636,0.024,114.81,25.975,linear
S01476.01,SIMULATED,K01476,12406749,1,15.792,0.709,0.096,-0.08,0.462,0.157,-0.085,1.004,0.151,-0.114,0.434,0.243,nan,5.04,56.3588,31.71537,0.552,0.16,-1.452,9981,4.027,0.1,119.273,143.787,linear
S00486.01,SIMULATED,K00486,12404305,1,14.118,0.946,0.072,-0.044,1.252,0.144,-0.144,-0.168,0.115,-0.155,0.453,0.233,nan,2.78,22.18332,5.73997,0.402,0.188,-2.083,414,7.169,0.02,26.05,41.819,linear
S01968.01,SIMULATED,K01968,7948784,1,15.079,1.091,0.157,-0.157,1.203,0.313,-0.134,-0.054,0.208,-0.141,0.319,0.302,nan,3.15,10.08745,0.14604,0.445,0.441,2.308,576,2.863,0.024,16.814,41.517,linear
S01723.01,SIMULATED,K01723,10213902,1,15.517,1.161,0.126,-0.139,0.7,0.266,-0.114,0.678,0.197,-0.131,0.351,0.289,nan,3.63,59.62226,55.74289,0.193,0.078,-2.094,2259,5.2,0.048,96.406,62.879,linear
S02770.01,SIMULATED,K02770,10917043,1,15.558,0.714,0.062,-0.062,0.562,0.055,-0.05,0.754,0.079,-0.088,0.666,0.078,nan,2.11,205.38591,0.35456,0.319,0.059,1.947,1185,6.271,0.034,233.127,17.708,linear
S01517.01,SIMULATED,K01517,7456001,1,14.683,0.787,0.12,-0.098,0.891,0.274,-0.147,0.195,0.203,-0.17,0.334,0.296,nan,3.1,40.06867,16.29865,0.236,0.382,-1.369,1017,8.894,0.032,51.053,62.657,linear
S02683.01,SIMULATED,K02683,7899070,1,15.5,0.801,0.088,-0.107,0.718,0.158,-0.068,0.485,0.155,-0.097,0.421,0.252,nan,4.49,126.44513,118.20388,0.942,0.241,-1.866,3290,4.267,0.057,137.228,50.995,linear
S00940.01,SIMULATED,K00940,9479273,1,15.017,0.775,0.048,-0.031,0.68,0.038,-0.042,0.542,0.05,-0.06,0.54,0.173,nan,3.18,6.10485,2.41076,0.051,0.073,-1.227,1840,2.741,0.043,19.0,211.098,linear
S03014.01,SIMULATED,K03014,7347246,1,15.831,1.044,0.153,-0.153,1.621,0.357,-0.119,-0.461,0.237,-0.13,0.329,0.302,nan,3.11,86.11609,15.87241,0.182,0.16,1.394,309,10.937,0.018,51.374,7.729,linear
S02066.01,SIMULATED,K02066,3239671,1,14.904,0.906,0.062,-0.051,1.083,0.123,-0.082,0.002,0.107,-0.09,0.453,0.233,nan,3.33,147.97391,58.59262,0.749,0.234,-3.129,794,7.381,0.028,105.141,15.242,linear
S02448.01,SIMULATED,K02448,5857540,1,15.462,0.819,0.085,-0.056,0.82,0.109,-0.109,0.32,0.108,-0.14,0.582,0.145,nan,3.28,13.62801,7.59338,0.129,0.128,-0.024,1343,3.89,0.037,27.385,38.548,linear
S02490.01,SIMULATED,K02490,3122913,1,15.701,0.661,0.05,-0.025,0.664,0.027,-0.041,0.503,0.04,-0.059,0.619,0.114,nan,1.88,11.60653,2.31139,0.303,0.521,2.241,673,1.862,0.026,28.305,14.219,linear
S02666.01,SIMULATED,K02666,5342061,1,15.341,0.741,0.096,-0.07,0.707,0.181,-0.072,0.471,0.176,-0.1,0.356,0.286,nan,3.47,64.03436,6.51636,0.643,0.207,1.746,2027,3.799,0.045,86.266,33.964,linear
S03066.01,SIMULATED,K03066,4067925,1,15.911,0.753,0.064,-0.085,0.529,0.119,-0.055,0.856,0.126,-0.08,0.509,0.196,nan,2.1,24.22042,16.07143,0.064,0.279,1.563,1325,2.372,0.036,60.616,18.867,linear
S00507.01,SIMULATED,K00507,5812960,1,14.915,0.785,0.118,-0.055,0.745,0.13,-0.106,0.428,0.13,-0.139,0.49,0.208,nan,3.34,18.49235,0.0038,0.569,0.121,2.58,1690,3.153,0.041,36.452,69.768,linear
S01014.01,SIMULATED,K01014,8125580,1,15.759,0.521,0.032,-0.021,0.506,0.023,-0.029,0.754,0.044,-0.059,0.372,0.307,nan,2.04,17.31712,14.52677,0.371,0.016,0.977,1367,2.822,0.037,44.816,33.495,linear
S07136.01,SIMULATED,K07136,9150870,1,15.632,0.805,0.078,-0.094,0.583,0.326,-0.064,0.758,0.258,-0.083,0.432,0.245,nan,2.27,441.17369,205.50157,0.246,0.138,1.004,1274,7.73,0.036,389.246,12.461,linear
S00618.01,SIMULATED,K00618,10353968,1,14.959,0.896,0.1,-0.12,1.231,0.264,-0.088,-0.169,0.207,-0.107,0.41,0.26,nan,2.94,9.07098,2.53019,0.127,0.452,-0.621,479,5.938,0.022,14.342,30.19,linear
S07785.01,SIMULATED,K07785,6531617,1,14.546,0.856,0.116,-0.05,0.829,0.126,-0.094,0.325,0.135,-0.132,0.477,0.218,nan,2.07,433.22046,105.5729,0.15,0.369,-0.106,523,11.736,0.023,275.85,10.019,linear
S02099.01,SIMULATED,K02099,3120355,1,14.999,0.91,0.081,-0.065,1.108,0.215,-0.215,-0.025,0.134,-0.193,0.413,0.26,nan,3.37,78.09989,31.56608,0.135,0.169,0.666,778,8.068,0.028,67.28,23.19,linear
S02660.01,SIMULATED,K02660,9893318,1,15.394,1.045,0.173,-0.129,0.813,0.339,-0.145,0.439,0.227,-0.157,0.315,0.303,nan,2.39,18.01612,12.24754,0.441,0.289,-2.511,726,4.081,0.027,36.115,23.248,linear
S01711.01,SIMULATED,K01711,7955580,1,15.061,0.815,0.046,-0.033,0.836,0.037,-0.046,0.293,0.044,-0.058,0.575,0.15,nan,2.19,55.67358,3.93721,0.181,0.242,0.115,576,5.903,0.024,68.537,17.149,linear
S04005.01,SIMULATED,K04005,8142787,1,14.56,0.874,0.05,-0.05,0.929,0.086,-0.06,0.187,0.084,-0.071,0.453,0.233,nan,2.25,178.13907,142.07726,0.049,0.048,-2.055,493,10.571,0.022,137.17,15.012,linear
S01066.01,SIMULATED,K01066,8260218,1,15.623,0.864,0.1,-0.09,0.901,0.224,-0.09,0.222,0.196,-0.119,0.373,0.279,nan,9.29,5.71482,4.2215,0.287,0.116,-0.021,8940,3.232,0.095,14.225,405.439,linear
S06301.01,SIMULATED,K06301,2994092,1,15.923,1.159,0.154,-0.188,0.885,0.362,-0.155,0.373,0.215,-0.149,0.3,0.314,nan,2.94,50.27193,40.72062,0.198,0.326,2.115,928,4.22,0.03,68.063,10.565,linear
S02931.01,SIMULATED,K02931,8611257,1,14.699,0.809,0.028,-0.066,0.783,0.047,-0.029,0.375,0.058,-0.048,0.551,0.165,nan,2.17,99.25323,11.36737,0.384,0.275,-0.533,645,7.505,0.025,107.295,18.91,linear
S04391.01,SIMULATED,K04391,6359926,1,14.955,0.915,0.118,-0.106,1.081,0.265,-0.114,0.009,0.208,-0.139,0.334,0.296,nan,1.62,49.4747,48.29559,0.532,0.1,-1.934,188,7.029,0.014,50.916,7.629,linear
S00920.01,SIMULATED,K00920,8689031,1,15.067,0.991,0.073,-0.09,0.631,0.127,-0.051,0.745,0.142,-0.082,0.398,0.266,nan,2.6,21.80452,7.73291,0.662,0.171,1.314,1425,2.169,0.038,51.876,58.29,linear
S03007.01,SIMULATED,K03007,10190075,1,14.528,1.001,0.054,-0.06,0.945,0.129,-0.07,0.224,0.111,-0.077,0.41,0.26,nan,1.851,11.19162,10.66009,0.227,0.262,2.329,322,3.088,0.018,22.3,28.24,linear
S05332.01,SIMULATED,K05332,6875342,1,14.296,1.161,0.153,-0.153,1.109,0.366,-0.122,0.079,0.242,-0.134,0.319,0.302,nan,2.053,22.23811,6.45662,0.375,0.151,0.071,288,4.981,0.017,31.534,23.019,linear
S07510.01,SIMULATED,K07510,12067960,1,15.289,0.711,0.094,-0.115,0.675,0.193,-0.069,0.513,0.172,-0.093,0.393,0.268,nan,1.584,5.60682,4.74626,0.008,0.331,2.559,462,1.99,0.022,17.556,28.438,linear
S06617.01,SIMULATED,K06617,5702770,1,15.032,0.886,0.104,-0.116,0.792,0.246,-0.082,0.401,0.205,-0.106,0.393,0.268,nan,2.81,8.00189,4.33271,0.24,0.244,-2.779,1059,3.194,0.033,20.43,98.422,linear
S04399.01,SIMULATED,K04399,8345384,1,11.965,0.968,0.043,-0.076,0.868,0.092,-0.04,0.32,0.094,-0.055,0.442,0.24,nan,2.212,42.10034,0.64689,0.585,0.092,3.117,546,4.623,0.023,58.065,71.608,linear
S00635.01,SIMULATED,K00635,5020319,1,13.034,0.938,0.086,-0.07,0.961,0.18,-0.103,0.172,0.133,-0.101,0.359,0.287,nan,2.52,16.71987,14.5364,0.484,0.065,1.275,577,3.865,0.024,28.013,62.625,linear
S00592.01,SIMULATED,K00592,9957627,1,14.292,0.933,0.142,-0.103,0.693,0.308,-0.132,0.597,0.219,-0.148,0.334,0.296,nan,2.37,39.75299,1.26671,0.099,0.017,-0.803,982,4.566,0.031,69.116,59.099,linear
S02504.01,SIMULATED,K02504,8110767,1,15.93,1.125,0.1,-0.122,0.789,0.264,-0.088,0.51,0.207,-0.108,0.419,0.256,nan,2.34,20.49041,13.65096,0.519,0.112,-0.515,739,3.514,0.027,41.559,18.413,linear
S01938.01,SIMULATED,K01938,9651234,1,14.031,0.841,0.046,-0.046,0.871,0.056,-0.042,0.253,0.063,-0.055,0.509,0.196,nan,2.37,96.91517,53.15734,0.896,0.297,1.63,621,2.82,0.025,96.177,23.303,linear
S03131.01,SIMULATED,K03131,11455181,1,15.591,0.805,0.111,-0.111,0.454,0.258,-0.081,1.084,0.215,-0.106,0.393,0.268,nan,2.038,10.92948,6.17509,0.419,0.169,-3.012,1694,1.888,0.041,42.485,78.752,linear
S04495.01,SIMULATED,K04495,5552562,1,15.466,1.23,0.127,-0.127,1.365,0.297,-0.099,-0.166,0.218,-0.115,0.41,0.26,nan,2.409,5.93218,2.86001,0.609,0.091,-3.044,261,3.43,0.016,10.825,15.441,linear
S02065.01,SIMULATED,K02065,6342333,1,14.32,0.964,0.046,-0.051,1.002,0.104,-0.052,0.13,0.098,-0.061,0.46,0.229,nan,3.24,80.23215,51.51595,0.559,0.187,3.026,878,6.604,0.03,77.173,32.615,linear
S05736.01,SIMULATED,K05736,9935983,1,13.756,0.877,0.081,-0.057,1.313,0.206,-0.229,-0.263,0.129,-0.208,0.405,0.264,nan,2.22,161.6515,65.92844,0.464,0.267,0.099,240,11.505,0.015,91.04,15.243,linear
S01633.01,SIMULATED,K01633,9401997,1,15.2,0.938,0.055,-0.037,0.803,0.066,-0.072,0.408,0.066,-0.083,0.517,0.191,nan,1.9,32.29643,29.30114,0.324,0.125,0.118,470,4.493,0.022,52.042,15.563,linear
S01659.01,SIMULATED,K01659,4650733,1,15.111,1.065,0.163,-0.2,1.219,0.39,-0.139,-0.081,0.224,-0.132,0.3,0.314,nan,2.51,29.53909,14.47716,0.077,0.358,-0.069,356,6.516,0.019,33.693,18.264,linear
S06750.01,SIMULATED,K06750,6664842,1,14.43,0.996,0.075,-0.05,1.736,0.223,-0.307,-0.571,0.127,-0.271,0.455,0.233,nan,1.982,5.21395,3.38497,0.806,0.125,-2.031,109,3.753,0.01,7.28,12.092,linear
S04632.01,SIMULATED,K04632,6070337,1,15.618,0.775,0.096,-0.079,0.973,0.149,-0.075,0.075,0.154,-0.108,0.421,0.252,nan,5.46,40.06915,8.22515,0.131,0.189,1.79,2648,5.692,0.051,46.535,57.061,linear
S01549.01,SIMULATED,K01549,8053552,1,15.135,0.786,0.116,-0.045,0.636,0.244,-0.163,0.635,0.2,-0.213,0.356,0.286,nan,7.243,29.48106,5.03984,0.464,0.04,2.576,10909,3.789,0.104,58.295,378.972,linear
S02132.01,SIMULATED,K02132,9661979,1,14.552,0.87,0.061,-0.035,1.036,0.227,-0.185,0.043,0.158,-0.192,0.47,0.224,nan,3.04,69.89568,64.0755,0.472,0.078,-0.429,724,7.626,0.027,65.838,30.411,linear
S01478.01,SIMULATED,K01478,12403119,1,12.45,0.94,0.056,-0.056,0.978,0.113,-0.057,0.152,0.105,-0.067,0.442,0.24,nan,4.78,76.13622,18.12334,0.619,0.175,-2.064,2009,7.526,0.045,75.738,206.743,linear
S05854.01,SIMULATED,K05854,11026582,1,14.466,1.073,0.124,-0.138,0.769,0.287,-0.096,0.521,0.218,-0.117,0.307,0.306,nan,2.93,240.57135,147.61657,0.708,0.013,-2.637,1219,6.442,0.035,216.616,34.413,linear
S07940.01,SIMULATED,K07940,9521317,1,12.85,1.207,0.11,-0.147,0.913,0.22,-0.102,0.35,0.169,-0.118,0.359,0.287,nan,1.86,188.88105,19.04348,0.82,0.288,-1.437,348,7.234,0.019,161.577,13.472,linear
S04815.01,SIMULATED,K04815,7287677,1,14.965,0.839,0.095,-0.105,0.992,0.23,-0.061,0.083,0.203,-0.084,0.324,0.298,nan,3.464,18.37218,13.84013,0.75,0.042,-0.369,1025,3.625,0.032,27.861,61.33,linear
S01639.02,SIMULATED,K01639,10749128,1,13.538,1.103,0.273,-0.114,0.917,0.659,-0.133,0.304,0.351,-0.13,0.318,0.304,nan,2.337,9.9824,9.84694,0.599,0.15,0.681,545,2.602,0.023,21.975,66.165,linear
S03434.01,SIMULATED,K03434,8628665,1,14.951,0.906,0.064,-0.064,1.11,0.167,-0.09,-0.03,0.126,-0.089,0.419,0.256,nan,3.016,10.28564,3.56569,0.945,0.255,-1.565,620,2.336,0.025,17.35,46.115,linear
S03288.01,SIMULATED,K03288,5768816,1,14.19,0.953,0.114,-0.085,1.17,0.258,-0.139,-0.076,0.195,-0.16,0.393,0.268,nan,3.35,47.98695,46.35076,0.545,0.067,0.72,688,6.518,0.026,46.737,24.992,quadratic
S03355.01,SIMULATED,K03355,9221528,1,15.11,0.961,0.16,-0.12,1.122,0.326,-0.14,-0.018,0.229,-0.159,0.315,0.303,nan,1.6,16.29532,8.21156,0.285,0.064,-2.709,170,5.218,0.013,23.792,8.828,quadratic
S08257.01,SIMULATED,K08257,5683219,1,13.413,0.547,0.111,-0.037,0.931,0.138,-0.101,-0.02,0.143,-0.14,0.398,0.266,nan,2.698,9.46094,2.7222,0.509,0.245,-1.44,705,4.994,0.027,16.538,103.373,quadratic
S07345.01,SIMULATED,K07345,10586619,1,15.044,0.971,0.05,-0.068,0.957,0.138,-0.043,0.194,0.119,-0.05,0.41,0.26,nan,2.16,377.50918,134.64056,0.31,0.304,-0.31,428,12.947,0.021,227.44,8.409,quadratic
S04372.01,SIMULATED,K04372,9702006,1,15.485,0.838,0.054,-0.081,0.584,0.08,-0.049,0.773,0.095,-0.078,0.627,0.108,nan,2.074,6.24565,3.61822,0.64,0.135,-1.07,1059,1.887,0.033,23.036,59.461,quadratic
S00118.01,SIMULATED,K00118,3531558,1,12.377,0.968,0.082,-0.055,1.216,0.064,-0.048,-0.119,0.049,-0.04,0.396,0.268,nan,2.29,24.99325,4.169,0.736,0.245,2.928,298,4.224,0.017,29.272,53.352,quadratic
S01997.01,SIMULATED,K01997,10384798,1,14.777,0.891,0.11,-0.1,0.867,0.243,-0.087,0.285,0.202,-0.11,0.324,0.298,nan,2.45,38.50524,28.08257,0.002,0.209,3.12,671,5.516,0.026,53.267,29.117,quadratic
S01531.01,SIMULATED,K01531,11764462,1,13.069,1.055,0.049,-0.07,0.827,0.127,-0.054,0.42,0.111,-0.062,0.41,0.26,nan,1.665,5.6992,3.32908,0.017,0.191,0.516,340,2.408,0.018,16.525,74.074,quadratic
S03480.01,SIMULATED,K03480,9843517,1,15.954,0.82,0.075,-0.092,0.774,0.131,-0.056,0.396,0.141,-0.086,0.421,0.252,nan,3.236,11.93784,9.32333,0.126,0.588,2.222,1468,1.949,0.038,26.575,40.874,quadratic
S07169.01,SIMULATED,K07169,9397900,1,12.931,1.008,0.188,-0.169,1.499,0.404,-0.218,-0.375,0.222,-0.2,0.291,0.311,nan,2.542,10.51138,0.29255,0.943,0.149,1.255,241,1.946,0.016,13.506,51.465,quadratic
S01420.01,SIMULATED,K01420,11026304,1,15.825,0.77,0.075,-0.062,0.793,0.062,-0.068,0.338,0.075,-0.097,0.627,0.108,nan,4.44,13.35151,10.84793,0.416,0.153,-3.092,2635,3.583,0.051,27.374,85.269,quadratic
S04123.01,SIMULATED,K04123,6140059,1,13.519,1.127,0.158,-0.115,1.067,0.352,-0.256,0.117,0.208,-0.257,0.307,0.306,nan,1.73,44.62268,31.65272,0.285,0.439,2.571,221,4.67,0.015,51.654,19.338,quadratic
S01268.01,SIMULATED,K01268,8813698,1,14.814,0.859,0.087,-0.063,0.693,0.222,-0.222,0.56,0.136,-0.197,0.405,0.264,nan,10.649,268.94114,257.34908,0.93,0.077,1.24,15684,5.246,0.141,240.406,297.371,quadratic
S02528.01,SIMULATED,K02528,9205907,1,15.646,1.064,0.118,-0.129,0.643,0.257,-0.086,0.751,0.212,-0.113,0.334,0.296,nan,3.28,12.02295,11.38509,0.292,0.226,-1.947,2186,3.248,0.047,35.06,105.55,quadratic
S03286.01,SIMULATED,K03286,8016691,1,15.464,0.485,0.064,-0.052,0.563,0.048,-0.064,0.583,0.074,-0.116,0.622,0.117,nan,1.993,18.13738,2.92129,0.69,0.085,-1.065,1053,2.826,0.032,40.53,33.89,quadratic
S07099.01,SIMULATED,K07099,8845552,1,15.534,0.51,0.039,-0.033,0.509,0.035,-0.046,0.737,0.064,-0.097,0.353,0.312,nan,1.778,34.03578,23.82173,0.108,0.009,-1.768,1026,3.881,0.032,69.415,20.411,quadratic
S02649.01,SIMULATED,K02649,6842682,1,14.64,0.786,0.104,-0.127,0.939,0.246,-0.082,0.127,0.201,-0.105,0.393,0.268,nan,3.115,7.56126,4.20747,0.876,0.037,-3.061,924,1.975,0.03,15.934,74.795,quadratic
S00695.01,SIMULATED,K00695,8805348,1,13.437,0.916,0.06,-0.054,0.971,0.11,-0.08,0.149,0.102,-0.094,0.373,0.279,nan,2.16,29.90721,14.33424,0.468,0.421,1.577,415,3.261,0.02,40.533,45.854,quadratic
S01457.01,SIMULATED,K01457,9643874,1,15.57,0.914,0.084,-0.126,0.781,0.237,-0.079,0.432,0.196,-0.102,0.47,0.224,nan,8.43,8.02768,3.88715,0.852,0.081,-1.989,9781,2.188,0.099,20.956,510.412,quadratic
S02536.01,SIMULATED,K02536,3728701,1,14.423,1.276,0.167,-0.112,1.449,0.338,-0.182,-0.229,0.22,-0.193,0.351,0.289,nan,2.43,51.13192,15.3631,0.213,0.276,0.079,236,8.407,0.015,43.381,14.106,quadratic
S01819.01,SIMULATED,K01819,9597058,1,13.576,0.726,0.049,-0.054,0.853,0.084,-0.045,0.217,0.086,-0.057,0.509,0.196,nan,1.96,12.05706,10.24057,0.678,0.018,-1.747,443,3.072,0.021,23.318,49.971,quadratic
S01861.01,SIMULATED,K01861,3648437,1,13.926,0.951,0.074,-0.066,1.228,0.197,-0.271,-0.14,0.121,-0.249,0.382,0.274,nan,3.56,17.50442,6.53053,0.511,0.449,1.318,706,3.265,0.027,22.726,41.714,quadratic
S03168.01,SIMULATED,K03168,4450844,1,10.455,0.904,0.067,-0.067,1.539,0.053,-0.059,-0.457,0.038,-0.045,0.382,0.274,nan,2.138,56.34794,29.16144,0.452,0.012,0.132,162,10.024,0.013,38.848,42.7,quadratic
S00640.01,SIMULATED,K00640,5121511,1,13.332,0.904,0.037,-0.059,0.975,0.092,-0.039,0.138,0.09,-0.049,0.526,0.186,nan,2.43,30.99664,24.96258,0.578,0.046,-0.971,522,5.039,0.023,41.178,55.125,quadratic
S01238.01,SIMULATED,K01238,6383821,1,14.556,1.02,0.058,-0.065,0.887,0.119,-0.04,0.314,0.102,-0.045,0.366,0.284,nan,2.18,27.07238,20.48272,0.021,0.24,-1.728,508,6.248,0.023,43.075,35.582,quadratic
S04661.01,SIMULATED,K04661,5962262,1,14.79,0.719,0.054,-0.029,0.844,0.032,-0.064,0.226,0.039,-0.078,0.582,0.145,nan,2.403,8.61743,0.9558,0.209,0.064,1.897,680,3.316,0.026,18.762,59.056,quadratic
S01848.01,SIMULATED,K01848,7430034,1,13.429,1.165,0.073,-0.066,1.195,0.193,-0.123,-0.017,0.13,-0.111,0.373,0.283,nan,3.33,49.62208,18.90389,0.681,0.145,0.128,652,5.644,0.026,50.041,50.906,quadratic
S02923.01,SIMULATED,K02923,9815053,1,14.628,0.947,0.078,-0.085,0.704,0.122,-0.066,0.582,0.128,-0.095,0.497,0.204,nan,2.672,5.83893,0.37743,0.869,0.316,-1.378,1209,1.813,0.035,19.029,121.112,quadratic
S07301.01,SIMULATED,K07301,10264293,1,15.645,0.807,0.061,-0.075,0.844,0.068,-0.056,0.276,0.082,-0.086,0.568,0.153,nan,2.668,20.95258,12.66252,0.909,0.438,-1.613,839,3.498,0.029,35.265,31.295,quadratic
S02647.01,SIMULATED,K02647,11962284,1,15.102,0.811,0.09,-0.074,0.775,0.157,-0.092,0.389,0.143,-0.115,0.509,0.196,nan,1.94,8.8393,8.41419,0.238,0.059,-2.079,525,3.268,0.023,21.633,36.382,quadratic
S02553.01,SIMULATED,K02553,9832208,1,15.639,0.819,0.053,-0.028,0.733,0.032,-0.055,0.468,0.04,-0.068,0.582,0.145,nan,2.4,88.07118,4.73643,0.402,0.181,-2.911,902,6.156,0.03,106.394,14.897,quadratic
S03432.01,SIMULATED,K03432,8738775,1,15.033,1.013,0.051,-0.057,1.611,0.26,-0.483,-0.467,0.141,-0.536,0.519,0.192,nan,2.36,48.05069,26.0595,0.129,0.076,-0.25,180,10.815,0.013,34.669,11.029,quadratic
S01651.01,SIMULATED,K01651,11337833,1,14.739,0.871,0.13,-0.13,1.018,0.291,-0.078,0.066,0.223,-0.097,0.345,0.292,nan,2.07,51.30119,31.32809,0.606,0.156,1.851,347,5.057,0.019,54.491,11.163,quadratic
S01562.02,SIMULATED,K01562,5308663,1,15.59,0.963,0.118,-0.131,0.761,0.264,-0.088,0.489,0.211,-0.112,0.345,0.292,nan,2.25,20.06792,2.62963,0.44,0.17,1.94,735,3.001,0.027,40.351,16.246,quadratic
S04184.01,SIMULATED,K04184,6752002,1,13.473,0.808,0.087,-0.06,0.824,0.069,-0.089,0.308,0.079,-0.12,0.568,0.153,nan,1.57,6.08004,0.79945,0.115,0.005,-0.694,304,2.975,0.017,15.843,40.978,quadratic
S05071.01,SIMULATED,K05071,4566848,1,15.656,1.012,0.139,-0.139,0.821,0.285,-0.095,0.411,0.212,-0.112,0.351,0.289,nan,8.86,180.41165,73.95762,0.136,0.281,-0.091,9780,9.008,0.099,164.271,140.835,quadratic
S03266.01,SIMULATED,K03266,8826007,1,15.498,0.647,0.065,-0.053,0.498,0.056,-0.05,0.868,0.083,-0.09,0.658,0.083,nan,1.94,54.50915,10.9892,0.601,0.259,3.104,1275,3.198,0.036,105.054,27.952,quadratic
S07179.01,SIMULATED,K07179,9480398,1,13.31,0.746,0.197,-0.109,0.854,0.503,-0.22,0.227,0.28,-0.221,0.385,0.274,nan,1.694,407.16297,353.72409,0.836,0.081,-0.237,330,7.482,0.018,245.463,17.715,quadratic
S02948.01,SIMULATED,K02948,6356692,1,11.926,0.882,0.075,-0.038,1.502,0.212,-0.283,-0.435,0.135,-0.287,0.448,0.236,nan,2.805,11.3917,0.50845,0.483,0.24,1.435,293,4.497,0.017,13.606,87.646,quadratic
S07432.01,SIMULATED,K07432,11286311,1,15.007,0.925,0.11,-0.064,0.746,0.3,-0.175,0.497,0.215,-0.203,0.453,0.233,nan,2.835,13.15384,6.74743,0.803,0.385,1.551,1213,1.428,0.035,30.625,55.517,quadratic
S02945.01,SIMULATED,K02945,8617363,1,15.999,0.92,0.092,-0.127,0.997,0.194,-0.069,0.116,0.171,-0.094,0.393,0.268,nan,2.52,19.94753,16.94272,0.095,0.227,1.645,536,4.084,0.023,30.177,15.166,quadratic
S00955.01,SIMULATED,K00955,9825625,1,15.067,1.058,0.154,-0.139,1.175,0.349,-0.116,-0.036,0.233,-0.125,0.315,0.303,nan,2.45,7.03902,4.10554,0.943,0.032,-2.289,365,1.592,0.019,13.407,29.336,quadratic
S03316.01,SIMULATED,K03316,9031209,1,15.549,0.942,0.071,-0.094,0.829,0.122,-0.057,0.367,0.132,-0.088,0.49,0.208,nan,2.84,47.05684,1.91469,0.12,0.143,-0.973,985,6.373,0.031,64.824,18.149,quadratic
