planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,logrho,logrho_err1,logrho_err2,limbdark_1,limbdark_2,pmass,prad,period,epoch,impact,ecc,omega,depth,duration,ror,dor,snr,ttv_type
S01207.01,SIMULATED,K01207,3732821,1,15.187,0.571,0.103,-0.051,1.022,0.088,-0.088,-0.122,0.101,-0.124,0.477,0.218,nan,2.199,11.42032,2.35207,0.734,0.716,5.087,389,7.467,0.02,17.328,31.0,linear
S06872.01,SIMULATED,K06872,7381580,1,15.087,0.798,0.106,-0.081,0.73,0.23,-0.054,0.462,0.221,-0.081,0.414,0.259,nan,1.414,6.44595,4.12286,0.103,0.254,1.719,315,2.082,0.018,18.533,7.1,linear
S02720.01,SIMULATED,K02720,8176564,1,10.338,0.97,0.088,-0.066,1.455,0.064,-0.052,-0.353,0.046,-0.041,0.343,0.292,nan,1.065,3.65232,1.67169,0.848,0.425,3.469,45,2.358,0.007,6.791,30.7,linear
S03835.01,SIMULATED,K03835,2581554,1,12.86,0.775,0.047,-0.036,0.711,0.039,-0.039,0.483,0.05,-0.055,0.558,0.161,nan,1.784,22.57046,1.27471,0.399,0.287,5.622,529,4.35,0.023,43.419,54.5,linear
S04184.01,SIMULATED,K04184,6752002,1,13.473,0.713,0.087,-0.06,0.849,0.069,-0.089,0.216,0.079,-0.12,0.568,0.153,nan,1.399,13.24563,8.18407,0.484,0.661,1.923,228,1.687,0.015,24.809,17.7,linear
S01403.01,SIMULATED,K01403,9214942,1,15.473,0.6,0.04,-0.055,0.543,0.042,-0.058,0.724,0.069,-0.119,0.464,0.259,nan,1.943,26.48053,20.90584,0.185,0.204,4.976,1077,4.315,0.033,58.114,33.2,linear
S07427.01,SIMULATED,K07427,11244571,1,13.954,0.741,0.159,-0.106,1.082,0.327,-0.176,-0.084,0.214,-0.185,0.307,0.306,nan,1.187,21.49154,9.73463,0.19,0.766,5.752,101,6.29,0.01,27.2,8.3,linear
S05845.01,SIMULATED,K05845,10967168,1,11.299,1.187,0.15,-0.225,1.625,0.319,-0.261,-0.409,0.165,-0.215,0.256,0.327,nan,1.439,18.623,9.64741,0.493,0.536,2.863,65,4.781,0.008,19.267,8.3,linear
S00269.01,SIMULATED,K00269,7670943,1,10.927,1.352,0.059,-0.072,1.579,0.058,-0.086,-0.315,0.038,-0.061,0.296,0.317,nan,2.009,7.95285,5.35527,0.945,0.703,5.488,136,2.677,0.012,11.742,60.8,linear
S01630.01,SIMULATED,K01630,9017682,1,15.152,1.049,0.094,-0.115,0.879,0.233,-0.078,0.338,0.202,-0.105,0.393,0.268,nan,1.232,5.2103,4.44535,0.22,0.321,0.799,165,2.074,0.013,14.616,19.5,linear
S02923.01,SIMULATED,K02923,9815053,1,14.628,0.963,0.078,-0.085,0.867,0.122,-0.066,0.319,0.128,-0.095,0.497,0.204,nan,1.439,6.46144,4.82142,0.09,0.711,4.446,231,6.725,0.015,16.637,15.3,linear
S03416.01,SIMULATED,K03416,2849140,1,15.353,0.989,0.083,-0.102,0.687,0.164,-0.07,0.633,0.158,-0.098,0.434,0.243,nan,1.421,19.66811,9.05075,0.096,0.357,3.571,359,3.761,0.019,44.47,14.2,linear
S01505.01,SIMULATED,K01505,9813499,1,15.695,1.039,0.118,-0.131,0.852,0.293,-0.078,0.374,0.228,-0.1,0.345,0.292,nan,1.702,12.47218,3.24276,0.374,0.066,2.578,335,3.234,0.018,26.907,26.3,linear
S03486.01,SIMULATED,K03486,8121328,1,14.371,0.723,0.122,-0.061,0.904,0.245,-0.132,0.14,0.203,-0.168,0.434,0.243,nan,2.213,7.19358,6.47183,0.571,0.574,3.725,503,3.589,0.022,15.572,19.1,linear
S04715.01,SIMULATED,K04715,6264750,1,13.98,0.966,0.113,-0.056,0.708,0.302,-0.247,0.584,0.208,-0.301,0.324,0.298,nan,1.468,13.03323,9.73154,0.881,0.865,0.792,361,0.487,0.019,32.539,11.0,linear
S02649.01,SIMULATED,K02649,6842682,1,14.64,0.686,0.104,-0.127,1.01,0.246,-0.082,-0.028,0.201,-0.105,0.393,0.268,nan,1.294,2.10808,1.17673,0.257,0.113,5.621,137,2.8,0.012,6.04,15.7,linear
S03117.01,SIMULATED,K03117,6523351,1,13.163,0.918,0.047,-0.071,0.987,0.124,-0.044,0.129,0.113,-0.054,0.46,0.229,nan,1.081,9.59892,5.50824,0.471,0.584,4.579,100,6.751,0.01,18.719,10.9,linear
S03465.01,SIMULATED,K03465,9763612,1,13.136,1.03,0.028,-0.08,0.849,0.066,-0.035,0.376,0.067,-0.048,0.47,0.224,nan,1.203,20.19203,10.30986,0.664,0.27,4.528,168,4.168,0.013,37.129,14.6,linear
S01946.01,SIMULATED,K01946,10844890,1,14.469,0.873,0.125,-0.102,0.992,0.268,-0.115,0.1,0.208,-0.137,0.404,0.262,nan,2.127,15.38835,0.13345,0.49,0.655,0.966,386,2.059,0.02,25.08,38.1,linear
S02849.01,SIMULATED,K02849,10064256,1,14.52,0.871,0.064,-0.11,0.861,0.214,-0.071,0.285,0.178,-0.089,0.478,0.219,nan,1.277,7.0432,4.87072,0.906,0.638,5.416,185,2.141,0.014,17.16,16.1,linear
S02936.01,SIMULATED,K02936,10880507,1,14.421,0.949,0.058,-0.044,0.838,0.126,-0.094,0.356,0.106,-0.1,0.46,0.229,nan,1.132,10.83286,6.87056,0.055,0.408,4.022,153,4.613,0.012,24.15,13.7,linear
S01397.01,SIMULATED,K01397,9427402,1,15.369,0.488,0.036,-0.044,0.516,0.039,-0.047,0.699,0.071,-0.105,0.263,0.426,nan,2.076,22.93732,16.71088,0.47,0.336,5.954,1359,3.302,0.037,51.813,44.8,linear
S03685.02,SIMULATED,K03685,8494410,1,14.461,0.846,0.12,-0.109,0.86,0.272,-0.146,0.273,0.202,-0.171,0.345,0.292,nan,1.319,25.90779,6.65847,0.126,0.392,3.899,197,6.188,0.014,40.529,40.1,linear
S04403.01,SIMULATED,K04403,7703882,1,15.741,0.951,0.11,-0.11,0.84,0.254,-0.079,0.354,0.215,-0.105,0.386,0.271,nan,1.479,4.23444,0.84486,0.726,0.493,1.436,260,1.045,0.016,12.894,11.9,linear
S01508.01,SIMULATED,K01508,7690844,1,15.689,1.149,0.102,-0.153,0.907,0.236,-0.084,0.336,0.185,-0.104,0.366,0.284,nan,1.72,0.37438,0.34889,0.995,0.165,5.618,208,0.288,0.017,2.523,29.7,linear
S03069.01,SIMULATED,K03069,4676964,1,14.914,0.8,0.122,-0.11,1.392,0.309,-0.19,-0.379,0.206,-0.205,0.419,0.256,nan,2.292,28.64041,23.57668,0.408,0.374,4.419,227,11.186,0.015,26.269,14.3,linear
S04252.01,SIMULATED,K04252,10525049,1,13.977,0.591,0.028,-0.038,0.481,0.033,-0.033,0.874,0.053,-0.063,0.477,0.258,nan,1.337,12.74871,5.97334,0.615,0.013,0.314,648,1.987,0.025,40.054,13.0,linear
S03368.01,SIMULATED,K03368,5257082,1,14.889,0.939,0.132,-0.132,0.858,0.294,-0.098,0.321,0.222,-0.119,0.351,0.289,nan,1.379,25.67869,18.8112,0.839,0.278,1.895,217,2.037,0.015,41.806,10.7,linear
S02535.01,SIMULATED,K02535,9635606,1,14.985,0.766,0.051,-0.028,0.838,0.027,-0.046,0.264,0.036,-0.059,0.638,0.102,nan,1.845,28.29046,14.30659,0.167,0.382,3.34,407,5.096,0.02,42.662,13.5,linear
S03508.01,SIMULATED,K03508,6697817,1,14.322,1.017,0.06,-0.067,1.095,0.16,-0.038,0.039,0.13,-0.042,0.366,0.284,nan,2.153,6.45941,5.15461,0.681,0.412,3.528,325,3.01,0.018,13.409,13.0,linear
S04763.01,SIMULATED,K04763,8349399,1,14.046,0.969,0.145,-0.118,1.179,0.327,-0.201,-0.079,0.213,-0.216,0.351,0.289,nan,1.368,23.07413,20.88353,0.119,0.867,2.818,113,2.414,0.011,28.62,12.4,linear
S04972.01,SIMULATED,K04972,3340165,1,13.98,1.258,0.079,-0.096,1.114,0.187,-0.075,0.108,0.124,-0.067,0.329,0.302,nan,1.036,0.42058,0.3676,0.261,0.133,4.0,72,1.567,0.009,2.288,12.2,linear
S03280.01,SIMULATED,K03280,10653179,1,15.57,0.872,0.102,-0.165,0.679,0.25,-0.107,0.594,0.192,-0.131,0.366,0.284,nan,2.064,28.35067,9.30154,0.35,0.229,2.347,776,3.181,0.028,55.036,13.6,linear
S06762.01,SIMULATED,K06762,6715997,1,14.45,0.794,0.131,-0.073,1.275,0.365,-0.151,-0.267,0.249,-0.169,0.375,0.277,nan,1.426,0.2388,0.1286,0.059,0.591,0.415,105,1.227,0.01,1.177,7.1,linear
S04992.01,SIMULATED,K04992,3553900,1,15.133,1.004,0.078,-0.097,0.757,0.158,-0.068,0.513,0.158,-0.099,0.373,0.279,nan,1.389,11.76826,8.89818,0.867,0.349,3.031,283,1.497,0.017,28.795,10.5,linear
S04036.01,SIMULATED,K04036,11415243,1,14.061,0.707,0.03,-0.048,0.683,0.043,-0.025,0.494,0.054,-0.04,0.627,0.108,nan,2.299,12.42898,5.04865,0.752,0.499,1.046,950,1.376,0.031,29.43,15.3,linear
S01683.01,SIMULATED,K01683,6034945,1,14.63,1.126,0.142,-0.129,1.163,0.32,-0.137,0.004,0.223,-0.153,0.359,0.287,nan,1.893,21.36706,11.40637,0.279,0.181,5.522,222,6.177,0.015,28.986,21.7,linear
S04409.01,SIMULATED,K04409,5308537,1,12.515,1.032,0.098,-0.071,1.668,0.22,-0.22,-0.504,0.136,-0.198,0.405,0.264,nan,1.265,0.27854,0.23248,0.765,0.815,0.879,48,0.766,0.007,1.087,13.9,linear
S04661.01,SIMULATED,K04661,5962262,1,14.79,0.855,0.054,-0.029,0.795,0.032,-0.064,0.38,0.039,-0.078,0.582,0.145,nan,1.394,25.02814,13.6939,0.527,0.309,0.76,258,3.03,0.016,42.984,11.3,linear
S01377.01,SIMULATED,K01377,7211469,1,14.788,1.123,0.069,-0.083,1.411,0.19,-0.102,-0.249,0.129,-0.092,0.366,0.284,nan,2.248,20.38251,19.25928,0.861,0.156,2.358,213,3.217,0.015,23.128,20.9,linear
S00587.01,SIMULATED,K00587,9607164,1,14.574,0.805,0.109,-0.047,0.742,0.102,-0.091,0.443,0.113,-0.125,0.477,0.218,nan,1.853,16.87382,11.54094,0.234,0.181,5.657,523,4.069,0.023,34.702,60.9,linear
S00635.01,SIMULATED,K00635,5020319,1,13.034,1.036,0.086,-0.07,1.104,0.18,-0.103,0.036,0.133,-0.101,0.359,0.287,nan,2.215,14.34496,9.59558,0.51,0.509,4.578,338,7.372,0.018,22.778,19.2,linear
S06765.01,SIMULATED,K06765,6768616,1,15.154,1.016,0.142,-0.116,1.238,0.296,-0.127,-0.122,0.215,-0.145,0.334,0.296,nan,1.206,0.59414,0.24708,0.335,0.137,4.746,79,2.132,0.009,2.416,10.8,linear
S02652.01,SIMULATED,K02652,4346178,1,15.022,0.84,0.061,-0.035,1.133,0.227,-0.185,-0.089,0.16,-0.196,0.47,0.224,nan,2.162,24.4896,6.78604,0.011,0.78,0.462,306,2.991,0.017,29.553,21.3,linear
S01828.01,SIMULATED,K01828,11875734,1,14.422,0.786,0.117,-0.058,0.666,0.346,-0.186,0.575,0.246,-0.229,0.421,0.252,nan,2.041,6.62104,5.20354,0.678,0.28,3.619,789,2.096,0.028,20.569,45.6,linear
S03383.01,SIMULATED,K03383,8078502,1,15.848,0.903,0.092,-0.092,1.047,0.187,-0.08,0.045,0.174,-0.109,0.434,0.243,nan,2.132,18.38074,9.401,0.907,0.661,2.761,348,1.451,0.019,27.064,14.4,linear
S04482.01,SIMULATED,K04482,7778427,1,12.642,1.179,0.106,-0.08,1.052,0.228,-0.166,0.154,0.14,-0.141,0.324,0.303,nan,1.063,19.79667,0.98925,0.741,0.693,3.97,85,4.938,0.009,30.908,10.7,linear
S02368.01,SIMULATED,K02368,10863608,1,15.553,0.822,0.11,-0.08,0.659,0.236,-0.079,0.607,0.203,-0.101,0.373,0.279,nan,1.385,26.65536,9.47766,0.517,0.132,1.106,371,2.971,0.019,53.37,16.9,linear
S02482.01,SIMULATED,K02482,11403389,1,14.976,1.028,0.114,-0.125,1.12,0.258,-0.086,0.013,0.208,-0.109,0.404,0.262,nan,1.948,22.83466,1.57715,0.99,0.455,4.503,221,2.093,0.016,30.523,14.1,linear
S02444.01,SIMULATED,K02444,3354846,1,15.714,0.811,0.091,-0.112,0.77,0.213,-0.071,0.398,0.191,-0.098,0.442,0.24,nan,1.966,4.37972,2.44879,0.299,0.659,2.469,547,1.281,0.023,13.639,17.2,linear
S02801.01,SIMULATED,K02801,5905822,1,10.787,1.006,0.113,-0.083,0.867,0.25,-0.277,0.338,0.137,-0.226,0.347,0.291,nan,1.328,17.3541,3.54009,0.604,0.631,5.805,197,3.622,0.014,32.61,24.4,linear
S05800.01,SIMULATED,K05800,10525077,1,15.355,0.893,0.151,-0.135,0.711,0.334,-0.143,0.545,0.227,-0.158,0.359,0.287,nan,1.048,17.85075,17.83997,0.673,0.14,3.026,182,2.587,0.014,38.954,10.9,linear
S04856.01,SIMULATED,K04856,9782748,1,15.817,1.196,0.138,-0.152,1.35,0.334,-0.111,-0.164,0.233,-0.127,0.366,0.284,nan,1.977,2.91464,0.51424,0.349,0.712,0.908,180,1.418,0.013,6.751,15.8,linear
S03031.01,SIMULATED,K03031,6949898,1,15.267,0.784,0.095,-0.104,0.648,0.22,-0.073,0.608,0.192,-0.096,0.393,0.268,nan,1.243,13.36735,8.27075,0.883,0.834,2.884,309,0.697,0.018,33.722,12.2,linear
S01312.01,SIMULATED,K01312,10963242,1,14.706,1.249,0.074,-0.098,1.178,0.215,-0.176,0.032,0.132,-0.152,0.373,0.283,nan,1.962,0.72502,0.39416,0.474,0.309,4.213,233,2.146,0.015,3.105,25.8,linear
S02559.01,SIMULATED,K02559,6605493,1,13.799,0.951,0.081,-0.066,1.274,0.174,-0.126,-0.188,0.127,-0.124,0.41,0.26,nan,1.002,23.15904,3.19758,0.546,0.537,4.061,52,8.357,0.007,26.4,19.2,linear
S07715.01,SIMULATED,K07715,5091479,1,15.183,0.684,0.106,-0.118,1.056,0.26,-0.087,-0.087,0.212,-0.112,0.334,0.296,nan,1.301,13.17697,11.24182,0.071,0.679,5.262,127,9.044,0.011,19.584,8.5,linear
S02152.01,SIMULATED,K02152,9641481,1,15.06,0.916,0.062,-0.043,0.892,0.15,-0.15,0.26,0.114,-0.153,0.47,0.224,nan,1.899,21.76461,7.27176,0.196,0.266,0.581,380,3.918,0.02,35.71,25.7,linear
S02463.01,SIMULATED,K02463,12454461,1,12.77,1.302,0.061,-0.084,1.134,0.197,-0.07,0.099,0.134,-0.064,0.34,0.302,nan,1.054,6.06678,1.47261,0.141,0.531,1.509,72,1.903,0.009,13.474,18.8,linear
S03007.01,SIMULATED,K03007,10190075,1,14.528,0.922,0.054,-0.06,0.775,0.129,-0.07,0.447,0.111,-0.077,0.41,0.26,nan,1.022,29.88639,25.41397,0.705,0.637,0.544,146,1.889,0.012,50.929,11.9,linear
S00276.01,SIMULATED,K00276,11133306,1,11.854,0.974,0.083,-0.068,1.183,0.06,-0.06,-0.081,0.05,-0.055,0.359,0.287,nan,1.75,1.82863,0.30686,0.843,0.094,0.648,183,1.426,0.014,5.272,110.5,linear
S01495.01,SIMULATED,K01495,7629518,1,15.43,1.09,0.127,-0.127,0.924,0.297,-0.099,0.289,0.227,-0.122,0.351,0.289,nan,1.753,17.1179,10.25863,0.942,0.354,2.962,302,1.421,0.017,31.13,49.2,linear
S05895.01,SIMULATED,K05895,11407847,1,15.337,0.934,0.111,-0.074,0.704,0.241,-0.141,0.578,0.188,-0.167,0.442,0.24,nan,1.183,1.23469,0.49436,0.106,0.519,4.517,237,2.476,0.015,6.729,12.4,linear
S05332.01,SIMULATED,K05332,6875342,1,14.296,1.326,0.153,-0.153,1.213,0.366,-0.122,0.02,0.242,-0.134,0.319,0.302,nan,1.458,26.46014,3.36255,0.501,0.106,3.427,121,5.377,0.011,33.854,7.1,linear
S04737.01,SIMULATED,K04737,7266212,1,14.726,1.013,0.151,-0.151,1.017,0.341,-0.114,0.133,0.23,-0.125,0.324,0.303,nan,1.252,9.44489,1.1767,0.685,0.234,1.259,127,2.301,0.011,18.567,10.2,linear
S06921.01,SIMULATED,K06921,7816935,1,15.099,1.431,0.156,-0.156,0.447,0.361,-0.12,1.355,0.238,-0.131,0.319,0.302,nan,1.071,1.97656,0.90991,0.297,0.468,1.423,483,0.534,0.022,16.726,10.1,linear
S04450.01,SIMULATED,K04450,7429240,1,15.139,0.825,0.053,-0.048,0.922,0.115,-0.077,0.171,0.101,-0.085,0.47,0.224,nan,1.73,26.02973,8.77214,0.783,0.335,4.94,296,4.804,0.017,37.599,14.4,linear
S02477.01,SIMULATED,K02477,6846911,1,14.729,0.966,0.152,-0.124,0.933,0.335,-0.18,0.225,0.214,-0.186,0.366,0.284,nan,2.013,15.84843,1.20846,0.54,0.634,4.393,391,7.235,0.02,28.147,19.3,linear
S07279.01,SIMULATED,K07279,10053138,1,13.717,0.791,0.063,-0.036,0.976,0.191,-0.173,0.079,0.142,-0.187,0.46,0.229,nan,1.423,21.25153,18.55283,0.251,0.039,0.887,178,5.054,0.013,30.606,9.9,linear
S01212.01,SIMULATED,K01212,3749134,1,14.981,1.005,0.073,-0.061,1.246,0.169,-0.138,-0.136,0.122,-0.134,0.419,0.256,nan,1.837,29.60784,23.47188,0.282,0.551,2.227,182,3.951,0.014,32.372,18.5,linear
S03010.01,SIMULATED,K03010,3642335,1,15.757,0.535,0.03,-0.037,0.498,0.028,-0.035,0.786,0.05,-0.071,0.422,0.304,nan,1.079,19.1097,6.69815,0.66,0.742,0.405,394,1.201,0.02,49.026,15.4,linear
S06291.01,SIMULATED,K06291,2716979,1,13.303,0.839,0.138,-0.09,1.344,0.376,-0.205,-0.312,0.234,-0.216,0.325,0.298,nan,1.484,11.37322,6.68061,0.9,0.545,4.116,102,4.082,0.01,14.936,8.1,linear
S02376.01,SIMULATED,K02376,11701407,1,15.279,0.723,0.112,-0.06,0.696,0.12,-0.109,0.48,0.12,-0.143,0.497,0.204,nan,2.005,17.53713,6.04171,0.627,0.063,5.953,696,3.029,0.026,36.615,19.9,linear
S07041.01,SIMULATED,K07041,8443812,1,15.122,0.701,0.103,-0.037,0.72,0.115,-0.094,0.423,0.124,-0.131,0.398,0.266,nan,1.159,1.62834,1.1253,0.423,0.376,6.02,217,1.647,0.015,7.185,9.5,linear
S01633.01,SIMULATED,K01633,9401997,1,15.2,0.857,0.055,-0.037,0.89,0.066,-0.072,0.234,0.066,-0.083,0.517,0.191,nan,2.182,2.14997,1.53905,0.492,0.692,5.125,504,3.898,0.022,7.479,17.9,linear
S04750.01,SIMULATED,K04750,5308296,1,15.919,1.069,0.094,-0.115,0.845,0.221,-0.069,0.398,0.194,-0.094,0.393,0.268,nan,1.76,1.45191,1.16647,0.809,0.58,2.966,364,0.786,0.019,6.53,10.2,linear
S02107.01,SIMULATED,K02107,9225395,1,15.111,0.85,0.066,-0.033,0.983,0.115,-0.126,0.101,0.099,-0.14,0.517,0.191,nan,2.028,11.01202,6.01198,0.115,0.809,2.872,357,2.053,0.019,20.07,20.7,linear
S02417.01,SIMULATED,K02417,9654468,1,16.22,0.648,0.041,-0.027,0.705,0.027,-0.033,0.416,0.04,-0.05,0.674,0.072,nan,1.799,4.96431,2.04964,0.235,0.495,3.319,547,2.394,0.023,15.031,22.8,linear
S02048.01,SIMULATED,K02048,8956206,1,15.801,0.85,0.046,-0.041,0.772,0.051,-0.042,0.417,0.058,-0.055,0.509,0.196,nan,2.152,20.28327,14.84268,0.256,0.768,5.667,654,4.615,0.026,38.434,29.0,linear
S02345.01,SIMULATED,K02345,5629538,1,14.724,0.824,0.14,-0.114,1.008,0.304,-0.13,0.055,0.218,-0.147,0.307,0.306,nan,1.961,10.51828,6.70376,0.507,0.358,3.296,318,3.732,0.018,18.792,21.4,linear
S06752.01,SIMULATED,K06752,6670610,1,15.537,0.62,0.064,-0.058,0.598,0.043,-0.064,0.612,0.069,-0.119,0.622,0.117,nan,1.178,22.81625,5.8934,0.634,0.732,3.47,326,2.565,0.018,48.278,7.2,linear
S02367.01,SIMULATED,K02367,9086251,1,12.618,1.385,0.081,-0.09,1.474,0.248,-0.203,-0.215,0.136,-0.157,0.332,0.307,nan,1.384,4.49398,1.07205,0.636,0.862,4.558,74,10.646,0.009,8.668,17.3,linear
S07875.01,SIMULATED,K07875,8242769,1,15.57,1.085,0.125,-0.114,0.617,0.295,-0.126,0.815,0.214,-0.143,0.41,0.26,nan,1.292,26.60856,18.22781,0.407,0.112,5.579,368,3.258,0.019,62.508,7.8,linear
S02371.01,SIMULATED,K02371,11824786,1,15.012,1.213,0.124,-0.138,0.816,0.288,-0.096,0.498,0.22,-0.118,0.334,0.296,nan,2.112,15.17698,11.30448,0.3,0.833,5.431,563,4.994,0.024,33.72,22.1,linear
S04372.01,SIMULATED,K04372,9702006,1,15.485,0.83,0.054,-0.081,0.638,0.08,-0.049,0.653,0.095,-0.078,0.627,0.108,nan,1.474,10.09496,9.78803,0.656,0.626,1.076,448,1.048,0.021,28.945,11.9,linear
S02503.01,SIMULATED,K02503,8631504,1,14.146,0.817,0.035,-0.042,0.715,0.043,-0.029,0.499,0.053,-0.042,0.632,0.105,nan,1.135,26.98924,7.61262,0.824,0.887,5.136,211,5.948,0.015,49.541,21.9,linear
S02125.01,SIMULATED,K02125,9405595,1,15.347,1.17,0.144,-0.144,1.129,0.335,-0.112,0.06,0.234,-0.128,0.315,0.303,nan,2.035,7.76518,3.15184,0.368,0.693,5.35,273,5.943,0.017,15.408,25.9,linear
S00420.01,SIMULATED,K00420,8352537,1,14.247,0.867,0.081,-0.054,0.793,0.056,-0.074,0.39,0.072,-0.108,0.558,0.161,nan,1.937,6.61145,5.90188,0.56,0.687,0.804,501,1.179,0.022,17.836,276.1,linear
S00578.01,SIMULATED,K00578,8565266,1,14.684,1.259,0.159,-0.13,1.501,0.334,-0.18,-0.28,0.218,-0.192,0.359,0.287,nan,2.286,11.89844,7.26488,0.208,0.334,5.856,194,6.259,0.014,15.773,183.1,linear
S03305.01,SIMULATED,K03305,6880517,1,15.858,0.818,0.072,-0.108,0.796,0.169,-0.073,0.359,0.159,-0.101,0.453,0.233,nan,2.059,3.02344,0.70318,0.806,0.513,1.395,561,0.807,0.024,10.334,20.5,linear
S02555.01,SIMULATED,K02555,5350244,1,12.885,1.036,0.096,-0.064,1.118,0.195,-0.142,0.019,0.134,-0.132,0.351,0.289,nan,1.288,18.1474,5.65737,0.564,0.733,4.226,111,8.544,0.011,26.297,12.4,linear
S03358.01,SIMULATED,K03358,4263529,1,14.031,0.988,0.092,-0.092,0.658,0.187,-0.08,0.69,0.172,-0.107,0.442,0.24,nan,2.172,1.28266,0.61033,0.47,0.569,1.621,916,0.629,0.03,7.524,39.5,linear
S02033.01,SIMULATED,K02033,2304320,1,13.755,0.809,0.04,-0.045,0.8,0.049,-0.038,0.347,0.057,-0.052,0.568,0.153,nan,1.498,7.45516,2.5277,0.477,0.005,5.035,294,2.75,0.017,18.697,32.8,linear
S05310.01,SIMULATED,K05310,6675757,1,13.993,0.969,0.06,-0.055,1.104,0.141,-0.082,0.006,0.115,-0.086,0.46,0.229,nan,1.449,28.27814,24.76508,0.041,0.258,6.231,144,6.111,0.012,35.002,8.1,linear
S00478.01,SIMULATED,K00478,10990886,1,14.273,0.528,0.031,-0.038,0.537,0.03,-0.041,0.682,0.051,-0.081,0.531,0.211,nan,2.293,17.60343,1.89339,0.248,0.48,0.708,1533,2.117,0.039,42.881,77.2,linear
S02581.01,SIMULATED,K02581,11818872,1,13.463,0.855,0.055,-0.051,0.857,0.09,-0.052,0.282,0.088,-0.062,0.453,0.233,nan,1.254,23.59273,2.33203,0.45,0.884,4.902,179,15.138,0.013,38.348,12.9,linear
S05371.01,SIMULATED,K05371,7204233,1,14.733,0.828,0.048,-0.083,0.717,0.091,-0.042,0.501,0.105,-0.068,0.575,0.15,nan,1.046,28.87086,25.69321,0.279,0.496,4.961,179,6.928,0.013,51.905,8.1,linear
