planet_name,disposition,koi_id,kic_id,npl,kep_mag,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,limbdark_1,limbdark_2,pmass,prad,epoch,period,impact,depth,duration,ttv_type
S00346.01,SIMULATED,K00346,11100383,1,13.524,0.8340369949206496,0.034,-0.043,0.7741145121154875,0.013,-0.013,0.5684,0.153,0.0,2.62,10.751309699999776,12.924898030000003,0.9228496899134957,962.7883041659852,1.3493900453970964,linear
S01715.01,SIMULATED,K01715,9836959,1,12.9,0.9595935604139926,0.07,-0.065,1.1652321446198672,0.025,-0.024,0.3858,0.2711,0.0,2.29,83.81933672999968,105.01457740000002,0.004532558870109282,324.6270406338262,10.117477954236973,linear
S02513.01,SIMULATED,K02513,9653622,1,14.839,0.9833738255120179,0.139,-0.082,0.7829941026208571,0.462,-0.225,0.3071,0.3058,0.0,4.2365731509787965,3.85869756999965,19.00540980000001,0.8823401598932914,2460.656991819509,1.7950837674689368,linear
S02900.01,SIMULATED,K02900,4846856,1,15.266,0.7121822205206321,0.038,-0.05,0.7502218997306168,0.025,-0.024,0.4767,0.2175,0.0,2.08,37.88233314999957,46.15125300000001,0.0148722836196159,646.079314469152,5.469521602385537,linear
S02115.01,SIMULATED,K02115,9532052,1,16.144,0.8553230009685533,0.047,-0.047,0.8464317621800957,0.041,-0.036,0.49,0.2075,0.0,2.69,2.1743250899999502,15.72585941,0.5821104727167438,848.905403320811,3.297458667320149,linear
S02000.01,SIMULATED,K02000,8802693,1,15.593,0.8470278188520798,0.044,-0.055,0.7638520730244214,0.028,-0.027,0.421,0.2521,0.0,2.45,7.255651750000121,26.41044199,0.23517885623834223,864.673774471523,4.241866311785725,linear
S02920.01,SIMULATED,K02920,7090524,1,14.455,1.067456891795751,0.051,-0.064,1.037401113565117,0.024,-0.023,0.4603,0.2291,0.0,1.48,1.6647428000000382,6.73968289,0.009131737311377397,171.06795062918948,3.4804480601359984,linear
S01245.01,SIMULATED,K01245,6693640,1,14.2,1.0840736303155971,0.062,-0.069,1.2109119682231784,0.033,-0.033,0.2947,0.3103,0.0,1.98,12.030211290000523,13.719384259999993,0.9503773332634342,224.7211138278081,1.5936052003739347,linear
S07591.01,SIMULATED,K07591,8297319,1,14.937,0.7010024312081851,0.024,-0.031,0.6473135163906448,0.013,-0.012,0.5469,0.1682,0.0,1.3,18.673675780000263,328.32210999999984,0.8092723924639091,338.9971094645995,5.360564006368127,linear
S02305.01,SIMULATED,K02305,10874215,1,15.728,0.9911096476282755,0.056,-0.066,0.8975606349434933,0.044,-0.041,0.4096,0.2602,0.0,2.64,16.288178390000315,31.03259909999998,0.3284258766703534,727.141448528087,4.850521525489639,linear
S02762.01,SIMULATED,K02762,8210018,1,15.028,0.7992296430337749,0.035,-0.032,0.7029416174015773,0.013,-0.013,0.674,0.0722,0.0,2.51,74.60249649999996,132.99555030000002,0.30637662340555405,1071.6366839288805,6.681090318261306,linear
S04693.01,SIMULATED,K04693,8417078,1,13.341,1.051693058872649,0.078,-0.065,1.3577406000286705,0.034,-0.033,0.3098,0.3036,0.0,1.07,19.82988367000006,23.622357100000006,0.9658353947459484,52.20025053260222,1.802188334269388,linear
S01281.01,SIMULATED,K01281,8742590,1,14.427,0.9061363638596273,0.035,-0.049,0.8714591468842828,0.019,-0.019,0.3858,0.2711,0.0,1.88,23.97003363000023,49.47814459999999,0.9843748852681262,391.1652575672685,1.0567866041652425,linear
S05881.01,SIMULATED,K05881,11251991,1,11.083,1.4566994669047058,0.064,-0.053,1.4536244202593172,0.031,-0.03,0.2666,0.3088,0.0,1.27,15.586160000000035,134.35872,0.8073880960195334,64.1566476375261,7.034420025234408,linear
S02245.01,SIMULATED,K02245,4454934,1,14.74,1.0978168425198709,0.107,-0.098,1.1752163860026763,0.24,-0.211,0.3511,0.2889,0.0,2.45,26.956285420000647,33.4698571,0.3941534921828165,365.2877715157645,6.124997899294836,linear
S03179.01,SIMULATED,K03179,6153407,1,10.884,1.0522228590792986,0.063,-0.063,1.059129028076683,0.135,-0.079,0.4035,0.2622,0.0,1.03,0.4535839700000618,5.99078221,0.22640491046241118,79.49052195239976,3.343937203155816,linear
S01758.01,SIMULATED,K01758,6705142,1,15.969,0.8677689253725462,0.059,-0.064,0.8698027603788182,0.054,-0.048,0.4526,0.2327,0.0,3.28,0.9916837300003887,5.597282489999996,0.8000244991157284,1195.2115071190935,1.7633950334468644,linear
S07327.01,SIMULATED,K07327,10450504,1,15.864,0.7468920691910583,0.037,-0.034,0.7508410679363705,0.021,-0.02,0.5575,0.1611,0.0,1.88,9.117947929999882,17.990827300000014,0.2726326905660954,526.9365244043944,3.7871954952537523,linear
S02992.01,SIMULATED,K02992,8509442,1,15.995,0.6682415634750379,0.019,-0.019,0.6290335544332059,0.025,-0.027,0.5081,0.2238,0.0,2.03,38.44102959999986,82.65951740000006,0.6148044983758445,875.3527333751185,4.487154616763783,linear
S01030.01,SIMULATED,K01030,2574338,1,15.399,1.2555794734656456,0.06,-0.066,1.3612197776261474,0.108,-0.097,0.3344,0.3022,0.0,2.79,5.699737280000634,9.229613839999997,0.7470704157991535,353.09417014733623,3.193791504248649,linear
S05410.01,SIMULATED,K05410,7662502,1,13.664,1.2689569921940758,0.056,-0.062,1.328631801553112,0.027,-0.026,0.319,0.302,0.0,0.97,16.420938090000114,24.1527864,0.7029889669728269,44.79946456415985,4.5798066902854755,linear
S01398.01,SIMULATED,K01398,9269281,1,15.898,0.8319558297803892,0.044,-0.051,0.8270414608498478,0.033,-0.03,0.3858,0.2711,0.0,3.0,3.3623741000002396,5.823489109999998,0.27209907304460035,1105.9273209727094,2.7635144222499277,linear
S01885.01,SIMULATED,K01885,11413812,1,14.377,1.1534583549390012,0.071,-0.079,1.100543184341906,0.032,-0.031,0.3511,0.2889,0.0,1.82,5.168865119999957,5.653781630000001,0.8418482337019163,229.86203135610188,1.8315843315941973,linear
S02747.01,SIMULATED,K02747,6586746,1,15.329,0.7710284131265632,0.037,-0.04,0.7268720769604771,0.017,-0.018,0.5746,0.1496,0.0,1.55,5.155753199999523,6.264047740000004,0.4061243295568191,382.19593764652967,2.4239445964208097,linear
S02082.01,SIMULATED,K02082,9472000,1,14.143,1.2951378657905983,0.052,-0.058,1.432993963381596,0.039,-0.038,0.3958,0.2678,0.0,2.59,17.194313179999405,31.588897900000017,0.5607969893305975,274.5677013579115,6.245970066825287,linear
S01458.01,SIMULATED,K01458,12120943,1,15.703,0.9773840811017137,0.083,-0.072,1.20892661305131,0.098,-0.081,0.3729,0.2826,0.0,7.19,1.1298870199996087,8.981284720000007,0.023766459919106753,2973.01120462697,4.59527845678446,linear
S04986.01,SIMULATED,K04986,3540873,1,14.795,0.9763101938343915,0.108,-0.088,1.0128797478642224,0.338,-0.2,0.3175,0.3069,0.0,1.48,165.06999563999995,444.0425700000002,0.45491505355738393,179.4511711277739,12.592092679827038,linear
S01725.01,SIMULATED,K01725,10905746,1,13.496,0.4869128542976517,0.044,-0.066,0.43131126450482127,0.046,-0.056,0.3402,0.3775,0.0,1.6,6.215998397064512,9.878646274223259,0.694739128021248,1156.636798748938,1.5359251249199581,quadratic
S03056.01,SIMULATED,K03056,7216284,1,15.883,0.9668630642049549,0.066,-0.07,0.9246927817193028,0.048,-0.031,0.5167,0.1914,0.0,1.24,4.295781598227851,6.699587627651753,0.9503294404593812,151.14266545048585,0.9960295383594477,quadratic
S02343.01,SIMULATED,K02343,6119141,1,14.409,1.1637614243660157,0.137,-0.095,0.833707723074331,0.301,-0.162,0.3928,0.2676,0.0,2.32,9.578799636000202,29.07262716222222,0.2636891036455189,650.8590711301249,4.267578576019964,quadratic
S05891.01,SIMULATED,K05891,11391512,1,15.988,0.7572116762282405,0.04,-0.042,0.7543136509536453,0.043,-0.042,0.6389,0.099,0.0,2.98,88.85656759000042,370.31809237299984,0.8118496252865028,1311.7988174785544,6.29885276634304,quadratic
S04530.01,SIMULATED,K04530,12647577,1,14.241,1.0291185216370995,0.04,-0.054,1.0440850895399456,0.023,-0.022,0.4096,0.2602,0.0,1.1,3.2702828401750943,12.636205031322055,0.20638292119315038,93.29368002753819,4.278365893043873,quadratic
S02259.01,SIMULATED,K02259,8126558,1,15.364,1.001433046537972,0.045,-0.056,0.9714207741645672,0.035,-0.033,0.4415,0.2396,0.0,2.46,9.765428171894314,12.19141356517579,0.5310543473185166,539.0065989141622,3.4373049685344044,quadratic
S05289.01,SIMULATED,K05289,6517064,1,14.94,0.805742683060035,0.065,-0.062,0.9185095838517138,0.032,-0.03,0.3257,0.3014,0.0,2.04,75.22641843177767,181.81211802399994,0.4982740660688587,414.6021902612188,8.800991822871998,quadratic
S07510.01,SIMULATED,K07510,12067960,1,15.289,1.015625168161287,0.069,-0.066,0.8212316018399246,0.187,-0.107,0.3928,0.2676,0.0,1.04,4.746216490196324,5.606820221642054,0.9269917436181626,134.79507163827603,0.9882408563521246,quadratic
S01440.01,SIMULATED,K01440,11032227,1,15.451,1.0697531082741676,0.076,-0.078,1.2842748895355858,0.075,-0.07,0.3147,0.3032,0.0,1.59,3.8283967619008332,7.193048721756879,0.9332867065545482,128.82997061817224,1.580273745275303,quadratic
S08076.01,SIMULATED,K08076,12156930,1,13.74,0.8583067258473023,0.06,-0.06,0.9655074372178187,0.023,-0.022,0.319,0.302,0.0,1.42,7.342272810978427,71.10683850670944,0.7720596485413904,181.8042717422909,4.8559238687746245,quadratic
S03337.01,SIMULATED,K03337,7692093,1,15.927,0.8494255378139786,0.044,-0.053,0.7848372465495501,0.032,-0.03,0.4526,0.2327,0.0,1.56,7.875977758513829,11.166229161145722,0.6595264922132377,332.06922400244497,2.5274580120430934,quadratic
S08047.01,SIMULATED,K08047,11294822,1,15.222,0.7653739904212367,0.036,-0.034,0.7338853965748147,0.016,-0.016,0.6563,0.0927,0.0,1.98,1.1202036728566704,302.3497314148572,0.5754636237483367,611.8043074254023,7.994267792276259,quadratic
S01560.01,SIMULATED,K01560,8046659,1,15.042,1.1472499250031325,0.066,-0.081,1.1564379163866365,0.076,-0.091,0.3928,0.2676,0.0,11.18,19.965740578106725,31.56904469204435,0.6128801831631903,7855.568202176139,5.007920075622494,quadratic
S02288.01,SIMULATED,K02288,3440978,1,15.469,0.8629918482653095,0.048,-0.048,0.8175688768467816,0.028,-0.027,0.4767,0.2175,0.0,4.08,32.22068260645622,38.10391587963862,0.13140600973159178,2093.197786722548,5.200037310255594,quadratic
S02295.01,SIMULATED,K02295,4049901,1,11.671,0.8212464043710339,0.05,-0.05,0.7475585756804072,0.073,-0.045,0.4341,0.2434,0.0,0.52,11.859420224688105,16.290852863448475,0.5806978090184026,40.66819272397502,2.990658661721389,quadratic
S03072.01,SIMULATED,K03072,3219643,1,15.581,0.770287918402182,0.042,-0.046,0.7835500496282001,0.024,-0.023,0.4966,0.2043,0.0,1.95,23.39710756352425,24.336700059514857,0.7155653047849703,520.5642978353081,3.1410490687154065,quadratic
S02308.01,SIMULATED,K02308,3749978,1,15.778,1.0066704015334562,0.087,-0.077,1.2286885520961612,0.128,-0.115,0.3928,0.2676,0.0,2.55,8.010340682011517,28.505708919550226,0.4098381015098438,362.02234616007786,6.201124453776356,quadratic
S01118.01,SIMULATED,K01118,2853446,1,13.835,1.1043492805371757,0.071,-0.071,1.109748756694359,0.168,-0.126,0.3511,0.2889,0.0,2.67,2.081542052947638,7.372903470171971,0.4775601566201688,486.53247070552544,3.332751601607913,quadratic
S07179.01,SIMULATED,K07179,9480398,1,13.31,1.0824110049130047,0.063,-0.069,1.023462503622983,0.022,-0.021,0.3852,0.2738,0.0,1.18,353.74464210499974,407.14767352000007,0.1390865793050986,111.72716625199449,13.280866646850924,quadratic
S02663.01,SIMULATED,K02663,7762723,1,13.461,0.9436453155374664,0.074,-0.066,1.3560737508513883,0.029,-0.029,0.3858,0.2711,0.0,0.68,7.21553437854962,9.887366455827385,0.7676443512231597,21.134396351582005,3.4521646566655075,quadratic
S04051.01,SIMULATED,K04051,10360722,1,15.031,0.9537689564699839,0.036,-0.046,0.8205662412274529,0.021,-0.02,0.582,0.1451,0.0,2.75,12.553978110000243,163.69215481799995,0.2923374535132036,944.0103103728138,7.916258261394884,quadratic
S00824.01,SIMULATED,K00824,5164255,1,16.422,0.7903003733594687,0.045,-0.04,0.9237103211441215,0.038,-0.035,0.582,0.1451,0.0,11.01,13.983985465379657,15.37564322386866,0.8447467492142008,11941.027180860556,2.413505125743804,quadratic
S05288.01,SIMULATED,K05288,6511182,1,15.684,0.9022142763102968,0.061,-0.054,0.8752639959000803,0.034,-0.032,0.4415,0.2396,0.0,1.9,28.68216693682757,29.563219546115505,0.3682818804349215,396.0661394935304,4.726936306174762,quadratic
S02416.01,SIMULATED,K02416,9210387,1,15.466,0.8762110805429605,0.067,-0.065,0.9088968039410109,0.048,-0.044,0.3588,0.2868,0.0,1.77,5.277099384230146,5.906090116180775,0.38909341374249484,318.75427767285873,2.871055833401737,quadratic
S00640.01,SIMULATED,K00640,5121511,1,13.332,0.9284052048025437,0.037,-0.059,0.8985705847130925,0.092,-0.039,0.5256,0.186,0.0,2.43,24.962531633853352,30.99664109706155,0.9239723187415496,614.6767601864148,2.008815354050714,quadratic
S04601.01,SIMULATED,K04601,11153476,1,13.757,1.2138924235816044,0.043,-0.051,1.38225046592908,0.031,-0.031,0.319,0.302,0.0,0.98,5.358091844162181,7.940042838535494,0.8080295067687003,42.24908452665671,2.7645925906554045,quadratic
S04926.01,SIMULATED,K04926,1865864,1,15.572,0.7205399412288164,0.031,-0.034,0.7097083085424833,0.018,-0.018,0.6019,0.1263,0.0,1.47,39.967868749022124,69.08935703127463,0.6519419589935629,360.58987825892495,4.471271047627223,quadratic
S02066.01,SIMULATED,K02066,3239671,1,14.904,0.9176898017802784,0.03,-0.033,0.8346895497971802,0.025,-0.024,0.4526,0.2327,0.0,3.33,58.595177942273004,147.9737625995454,0.6651035038388518,1337.7567656214392,6.158488856173765,quadratic
S05426.01,SIMULATED,K05426,7770901,1,13.701,0.9069572884298854,0.128,-0.086,1.3655244817674228,0.342,-0.342,0.3268,0.2946,0.0,1.78,86.09542718285697,124.88661352824178,0.9249900522184915,142.8169205748901,4.864001844157112,quadratic
S03494.01,SIMULATED,K03494,8231667,1,15.654,0.7319128698589672,0.034,-0.036,0.6384522776107995,0.023,-0.024,0.49,0.2075,0.0,2.67,11.060268684898494,42.877420235154815,0.3847307329033983,1469.9558231965548,4.154738016171562,quadratic
S08063.01,SIMULATED,K08063,11714107,1,15.328,0.8601037694522916,0.061,-0.064,0.9254206673517416,0.035,-0.033,0.3928,0.2676,0.0,2.11,156.98710044300003,405.34387801300005,0.635519464325002,436.94337955701246,10.09351610904989,quadratic
S01503.01,SIMULATED,K01503,12400538,1,14.827,0.9456739188200456,0.073,-0.067,1.1852445773587996,0.122,-0.112,0.4526,0.2327,0.0,4.6,80.89355868727306,150.24443579290906,0.48831317846535394,1266.0135408802064,10.169120021708839,quadratic
S02691.01,SIMULATED,K02691,4552729,1,14.981,0.7071671867666719,0.03,-0.03,0.6844875287037802,0.015,-0.015,0.6188,0.1142,0.0,3.05,70.16384121220587,97.44631959045587,0.4365421250554611,1668.8113341949609,5.774043862298519,quadratic
S02255.01,SIMULATED,K02255,7672097,1,15.833,0.8295379317671855,0.042,-0.049,0.752970347506038,0.03,-0.028,0.3728,0.2787,0.0,1.81,5.988021881772158,7.970341209297769,0.573704615728948,485.66862004869563,2.3800450526107833,quadratic
S01925.01,SIMULATED,K01925,9955598,1,9.439,0.9222602528445508,0.051,-0.058,0.9197482714532765,0.018,-0.017,0.4603,0.2291,0.0,1.11,14.82576465804353,68.95845034195648,0.25700391812419254,122.41838293829385,6.797544628799315,quadratic
S02346.01,SIMULATED,K02346,8561231,1,15.658,0.8972703219012317,0.05,-0.059,0.9370399319274882,0.039,-0.036,0.3858,0.2711,0.0,2.69,5.488042902349528,28.68531647420027,0.4183480264128535,692.6709977846248,4.903468922399665,quadratic
S00587.01,SIMULATED,K00587,9607164,1,14.574,0.828529236005641,0.033,-0.046,0.7442881484937347,0.016,-0.015,0.4767,0.2175,0.0,2.41,11.86034949444249,14.034901822847939,0.22721161603953433,881.2325278399024,3.3791579796353464,quadratic
S03086.01,SIMULATED,K03086,10749059,1,15.707,0.8258701042761254,0.041,-0.047,0.8142796678806402,0.031,-0.029,0.5167,0.1914,0.0,3.0,11.04867422509132,174.73184770575745,0.4622903045868487,1140.864244600877,7.810179347607141,quadratic
S00374.01,SIMULATED,K00374,8686097,1,12.209,1.1002221256720592,0.07,-0.066,1.1852211752578965,0.026,-0.025,0.3858,0.2711,0.0,2.85,170.96770265577763,172.7030503604999,0.0021900400287890864,485.9924892058563,11.606013216595413,quadratic
S01308.01,SIMULATED,K01308,10586208,1,13.971,1.0968015702611282,0.081,-0.067,1.418295058149534,0.04,-0.039,0.3958,0.2678,0.0,3.0,19.027327707953877,23.584455947335,0.3643158238401585,376.05205961722766,6.667363687682057,quadratic
S01878.01,SIMULATED,K01878,3098810,1,12.988,1.3468070717892413,0.048,-0.062,1.294938486528708,0.034,-0.031,0.3403,0.3016,0.0,3.44,4.676062038731796,40.809573153193234,0.4958888126601596,593.1400499592024,6.363914979325586,quadratic
S02274.01,SIMULATED,K02274,7960980,1,15.909,0.8496387270612636,0.049,-0.037,0.8691287643986262,0.036,-0.034,0.5167,0.1914,0.0,2.48,0.07971041146556927,9.98970081983727,0.5303317918761637,684.3428849638752,3.0415066900565617,quadratic
S08249.01,SIMULATED,K08249,4572728,1,12.746,1.2112922967641186,0.066,-0.087,1.429365310168943,0.044,-0.042,0.3098,0.3036,0.0,1.96,208.1381412320003,309.1875617449998,0.15116950934507634,158.03901294248908,16.2702119778203,quadratic
S00385.01,SIMULATED,K00385,3446746,1,13.435,0.9529563632562871,0.051,-0.059,0.8996622753917214,0.018,-0.018,0.4526,0.2327,0.0,1.59,12.086218080650228,13.144968028133793,0.7452993822268433,262.5269361269817,2.611370495124615,quadratic
S02031.01,SIMULATED,K02031,5940165,1,14.796,0.6859952602831825,0.031,-0.029,0.6895243656245083,0.013,-0.013,0.666,0.0775,0.0,1.67,6.526813356218048,9.304140935650787,0.7226866313259992,493.0288680535032,2.0631621744844733,quadratic
S03063.01,SIMULATED,K03063,10924562,1,15.665,1.2859070425610029,0.07,-0.083,1.5448088252890202,0.139,-0.121,0.2998,0.3138,0.0,1.94,11.694901658075787,18.605203471281925,0.877088512239994,132.55393284464188,3.282200926595133,quadratic
S04617.01,SIMULATED,K04617,9701962,1,13.63,1.2480301402466518,0.067,-0.076,1.3913867745602002,0.033,-0.032,0.4641,0.2286,0.0,1.52,0.7211910729488528,27.478481180973706,0.9306526456107015,100.30673064811258,2.590284964196796,quadratic
S04068.01,SIMULATED,K04068,6226908,1,15.412,0.8988216646171779,0.046,-0.061,0.8930574306826022,0.029,-0.024,0.4526,0.2327,0.0,3.78,10.19611317809577,19.597316656099416,0.4439174266034963,1505.7867262392863,4.058243374883288,quadratic
S01420.01,SIMULATED,K01420,11026304,1,15.825,0.7757268023565952,0.037,-0.03,0.7915223810934549,0.023,-0.022,0.627,0.1082,0.0,4.44,10.847723834578613,13.351513259133133,0.7141660715847045,2644.710763718094,2.596752800774745,quadratic
S00373.01,SIMULATED,K00373,7364176,1,12.765,0.9969522896394897,0.063,-0.059,0.9559254362642791,0.02,-0.019,0.3728,0.2787,0.0,2.32,4.108079134358917,135.18822374723777,0.8088375235999915,495.06996063984576,5.242316286878787,quadratic
S04037.01,SIMULATED,K04037,8264402,1,12.853,1.1957752960086523,0.037,-0.052,1.2093281157811575,0.028,-0.026,0.3288,0.3024,0.0,3.36,188.89227727107178,215.95360517964284,0.7239081178277125,648.826973533666,8.560716474609091,cubic
S07345.01,SIMULATED,K07345,10586619,1,15.044,0.9346325251856514,0.069,-0.069,1.0180752674512747,0.037,-0.035,0.4096,0.2602,0.0,2.16,134.65168955100006,377.50529911600006,0.745178605567671,378.343580629164,9.110043655503917,cubic
S07940.01,SIMULATED,K07940,9521317,1,12.85,1.1459390307304964,0.063,-0.062,1.0245545810066607,0.075,-0.068,0.3588,0.2868,0.0,1.86,19.042127294000014,188.88132778566657,0.1714403901849889,277.00928797494134,10.046378825240936,cubic
S07445.01,SIMULATED,K07445,11411639,1,15.804,0.9291713832819233,0.055,-0.051,0.8503706759271038,0.038,-0.035,0.4341,0.2434,0.0,1.3,0.1718296062004691,6.933573677139385,0.28507308110579155,196.43044245482426,2.8913476027274636,cubic
S02594.01,SIMULATED,K02594,8004903,1,15.166,0.9644159422297061,0.076,-0.077,1.0213073068218468,0.047,-0.045,0.3588,0.2868,0.0,2.42,8.797120572296848,11.254022880007371,0.4397672452401512,471.9070825240599,3.776690818105892,cubic
S05745.01,SIMULATED,K05745,9962595,1,14.585,0.9609114361433483,0.054,-0.039,0.9951224079854832,0.025,-0.024,0.4966,0.2043,0.0,4.7354586215750825,1.61721476638038,11.374451415863263,0.5907177674911258,1903.3108453424318,3.3218265795450526,cubic
S01917.01,SIMULATED,K01917,10074466,1,13.624,1.078212381053293,0.043,-0.059,1.0573388552057645,0.022,-0.021,0.4096,0.2602,0.0,2.97,31.963032072579704,35.01188873039789,0.9944478484796826,663.1673803486594,0.644372300763567,cubic
S04636.01,SIMULATED,K04636,9773270,1,15.511,0.8077079597401567,0.046,-0.045,0.7540692924165765,0.033,-0.031,0.4955,0.2111,0.0,6.13,1.3456251405712507,122.74987274562638,0.5261333758798553,5554.399067774696,6.212031846588588,cubic
S02490.01,SIMULATED,K02490,3122913,1,15.701,0.7045367592811687,0.034,-0.031,0.7029145706949274,0.021,-0.02,0.6188,0.1142,0.0,1.88,2.311416303882983,11.606530001621092,0.9247107130695492,601.2419134356932,1.2359331300880998,cubic
